2026-04-13 19:41:03,809 | WARNING  | arbitrage-assistant | <module>:265 | Phase 3 routes not available: cannot import name 'ExecutionPriority' from 'services.execution_engine' (/app/data/所有对话/主对话/链上套利助手/backend/services/execution_engine.py)
2026-04-13 19:41:03,962 | ERROR    | arbitrage-assistant | get_chain_prices:1008 | Get chain prices error: 'NoneType' object has no attribute 'get_prices_by_chain'
2026-04-13 19:45:12,980 | INFO     | arbitrage-assistant | <module>:263 | Phase 3 Automation routes loaded
2026-04-13 19:45:13,067 | ERROR    | arbitrage-assistant | get_chain_prices:1008 | Get chain prices error: 'NoneType' object has no attribute 'get_prices_by_chain'
2026-04-13 19:51:44,804 | INFO     | arbitrage-assistant | <module>:263 | Phase 3 Automation routes loaded
2026-04-13 19:51:44,828 | INFO     | arbitrage-assistant | lifespan:132 | Starting 链上套利助手 v0.2.0
2026-04-13 19:51:44,828 | INFO     | arbitrage-assistant | lifespan:146 | PriceMonitorService initialized
2026-04-13 19:51:44,829 | INFO     | arbitrage-assistant | lifespan:150 | AlertService initialized
2026-04-13 19:52:30,159 | INFO     | arbitrage-assistant | lifespan:154 | BridgeFeeMonitorService initialized
2026-04-13 19:52:30,159 | INFO     | arbitrage-assistant | lifespan:168 | OpportunityDetectorService initialized
2026-04-13 19:52:30,159 | INFO     | arbitrage-assistant | lifespan:174 | Application startup complete
2026-04-13 19:52:30,424 | INFO     | arbitrage-assistant | lifespan:181 | StrategyManager initialized
2026-04-13 19:52:30,630 | INFO     | arbitrage-assistant | lifespan:186 | FundManager initialized
2026-04-13 19:52:30,840 | WARNING  | arbitrage-assistant | lifespan:209 | Phase 3 components initialization warning: name 'ABC' is not defined
2026-04-13 19:52:30,845 | INFO     | arbitrage-assistant | lifespan:215 | Shutting down...
2026-04-13 19:52:58,472 | INFO     | arbitrage-assistant | <module>:263 | Phase 3 Automation routes loaded
2026-04-13 19:52:58,504 | INFO     | arbitrage-assistant | lifespan:132 | Starting 链上套利助手 v0.2.0
2026-04-13 19:52:58,504 | INFO     | arbitrage-assistant | lifespan:146 | PriceMonitorService initialized
2026-04-13 19:52:58,504 | INFO     | arbitrage-assistant | lifespan:150 | AlertService initialized
